condition,family,model,feature_set,adaptation_seeds,selected_seeds,test_seeds,adaptation_windows,test_windows,n,accuracy,precision,recall,f1,f2,fpr,tp,tn,fp,fn
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,3,"123456,234567,345678","456789,567890",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,3,"123456,234567,456789","345678,567890",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,3,"123456,234567,567890","345678,456789",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,3,"123456,345678,456789","234567,567890",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,3,"123456,345678,567890","234567,456789",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,3,"123456,456789,567890","234567,345678",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,3,"234567,345678,456789","123456,567890",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,3,"234567,345678,567890","123456,456789",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,3,"234567,456789,567890","123456,345678",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sinkhole,cart,coarse_plus_routing,3,"345678,456789,567890","123456,234567",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,0,,"123456,234567,345678,456789,567890",0,90,90,0.8556,0.7,0.84,0.7636,0.8077,0.1385,21,56,9,4
ATTACKER_RELOCATED,sybil,cart,coarse,1,123456,"234567,345678,456789,567890",18,72,72,0.9861,1.0,0.95,0.9744,0.9596,0.0,19,52,0,1
ATTACKER_RELOCATED,sybil,cart,coarse,1,234567,"123456,345678,456789,567890",18,72,72,0.9861,1.0,0.95,0.9744,0.9596,0.0,19,52,0,1
ATTACKER_RELOCATED,sybil,cart,coarse,1,345678,"123456,234567,456789,567890",18,72,72,1.0,1.0,1.0,1.0,1.0,0.0,20,52,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,1,456789,"123456,234567,345678,567890",18,72,72,1.0,1.0,1.0,1.0,1.0,0.0,20,52,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,1,567890,"123456,234567,345678,456789",18,72,72,0.9861,1.0,0.95,0.9744,0.9596,0.0,19,52,0,1
ATTACKER_RELOCATED,sybil,cart,coarse,2,"123456,234567","345678,456789,567890",36,54,54,0.9815,1.0,0.9333,0.9655,0.9459,0.0,14,39,0,1
ATTACKER_RELOCATED,sybil,cart,coarse,2,"123456,345678","234567,456789,567890",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,2,"123456,456789","234567,345678,567890",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,2,"123456,567890","234567,345678,456789",36,54,54,0.9815,1.0,0.9333,0.9655,0.9459,0.0,14,39,0,1
ATTACKER_RELOCATED,sybil,cart,coarse,2,"234567,345678","123456,456789,567890",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,2,"234567,456789","123456,345678,567890",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,2,"234567,567890","123456,345678,456789",36,54,54,0.9815,1.0,0.9333,0.9655,0.9459,0.0,14,39,0,1
ATTACKER_RELOCATED,sybil,cart,coarse,2,"345678,456789","123456,234567,567890",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,2,"345678,567890","123456,234567,456789",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,2,"456789,567890","123456,234567,345678",36,54,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,3,"123456,234567,345678","456789,567890",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,3,"123456,234567,456789","345678,567890",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,3,"123456,234567,567890","345678,456789",54,36,36,0.9722,1.0,0.9,0.9474,0.9184,0.0,9,26,0,1
ATTACKER_RELOCATED,sybil,cart,coarse,3,"123456,345678,456789","234567,567890",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,3,"123456,345678,567890","234567,456789",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,3,"123456,456789,567890","234567,345678",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,3,"234567,345678,456789","123456,567890",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,3,"234567,345678,567890","123456,456789",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
ATTACKER_RELOCATED,sybil,cart,coarse,3,"234567,456789,567890","123456,345678",54,36,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0
