run_id,family,mode,seed,window_start_s,window_end_s,window_label,cart_prediction,label_available,cusum_rank_state_score,cusum_value,cusum_limit,cusum_alarm,ddm_error_count,ddm_error_rate,ddm_stddev,ddm_error_rate_min,ddm_stddev_min,ddm_state,ddm_alarm
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,180,240,0,0,1,0.0,0.0,0.5,0,3,0.0,0.0,0.0,0.0,stable,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,240,300,1,0,1,11.0,11.0,0.5,1,4,0.0,0.0,0.0,0.0,stable,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,300,360,1,0,1,11.0,22.0,0.5,1,5,0.2,0.1789,0.0,0.0,drift,1
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,360,420,1,0,1,11.0,33.0,0.5,1,6,0.3333,0.1925,0.0,0.0,drift,1
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,420,480,1,0,1,11.0,44.0,0.5,1,7,0.4286,0.187,0.0,0.0,drift,1
SH_ATTACK_N16_SEED345678,sinkhole,attack,345678,480,540,1,0,1,11.0,55.0,0.5,1,8,0.5,0.1768,0.0,0.0,drift,1
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,0,60,0,0,0,0.0,0.0,0.5,0,0,0.0,0.0,0.0,0.0,awaiting_label,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,60,120,0,0,1,0.0,0.0,0.5,0,1,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,120,180,0,0,1,0.0,0.0,0.5,0,2,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,180,240,0,0,1,0.0,0.0,0.5,0,3,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,240,300,0,0,1,0.0,0.0,0.5,0,4,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,300,360,0,0,1,0.0,0.0,0.5,0,5,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,360,420,0,0,1,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,420,480,0,0,1,0.0,0.0,0.5,0,7,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED345678,sinkhole,control,345678,480,540,0,0,1,0.0,0.0,0.5,0,8,0.0,0.0,0.0,0.0,stable,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,0,60,0,0,0,0.0,0.0,0.5,0,0,0.0,0.0,0.0,0.0,awaiting_label,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,60,120,0,0,1,0.0,0.0,0.5,0,1,0.0,0.0,0.0,0.0,stable,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,120,180,0,0,1,0.0,0.0,0.5,0,2,0.0,0.0,0.0,0.0,stable,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,180,240,0,0,1,0.0,0.0,0.5,0,3,0.0,0.0,0.0,0.0,stable,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,240,300,1,0,1,11.0,11.0,0.5,1,4,0.0,0.0,0.0,0.0,stable,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,300,360,1,0,1,11.0,22.0,0.5,1,5,0.2,0.1789,0.0,0.0,drift,1
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,360,420,1,0,1,11.0,33.0,0.5,1,6,0.3333,0.1925,0.0,0.0,drift,1
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,420,480,1,0,1,11.0,44.0,0.5,1,7,0.4286,0.187,0.0,0.0,drift,1
SH_ATTACK_N16_SEED456789,sinkhole,attack,456789,480,540,1,0,1,11.0,55.0,0.5,1,8,0.5,0.1768,0.0,0.0,drift,1
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,0,60,0,0,0,0.0,0.0,0.5,0,0,0.0,0.0,0.0,0.0,awaiting_label,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,60,120,0,0,1,0.0,0.0,0.5,0,1,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,120,180,0,0,1,0.0,0.0,0.5,0,2,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,180,240,0,0,1,0.0,0.0,0.5,0,3,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,240,300,0,0,1,0.0,0.0,0.5,0,4,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,300,360,0,0,1,0.0,0.0,0.5,0,5,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,360,420,0,0,1,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,420,480,0,0,1,0.0,0.0,0.5,0,7,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED456789,sinkhole,control,456789,480,540,0,0,1,0.0,0.0,0.5,0,8,0.0,0.0,0.0,0.0,stable,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,0,60,0,0,0,0.0,0.0,0.5,0,0,0.0,0.0,0.0,0.0,awaiting_label,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,60,120,0,0,1,0.0,0.0,0.5,0,1,0.0,0.0,0.0,0.0,stable,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,120,180,0,0,1,0.0,0.0,0.5,0,2,0.0,0.0,0.0,0.0,stable,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,180,240,0,0,1,0.0,0.0,0.5,0,3,0.0,0.0,0.0,0.0,stable,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,240,300,1,0,1,11.0,11.0,0.5,1,4,0.0,0.0,0.0,0.0,stable,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,300,360,1,0,1,11.0,22.0,0.5,1,5,0.2,0.1789,0.0,0.0,drift,1
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,360,420,1,0,1,11.0,33.0,0.5,1,6,0.3333,0.1925,0.0,0.0,drift,1
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,420,480,1,0,1,11.0,44.0,0.5,1,7,0.4286,0.187,0.0,0.0,drift,1
SH_ATTACK_N16_SEED567890,sinkhole,attack,567890,480,540,1,0,1,11.0,55.0,0.5,1,8,0.5,0.1768,0.0,0.0,drift,1
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,0,60,0,0,0,0.0,0.0,0.5,0,0,0.0,0.0,0.0,0.0,awaiting_label,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,60,120,0,0,1,0.0,0.0,0.5,0,1,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,120,180,0,0,1,0.0,0.0,0.5,0,2,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,180,240,0,0,1,0.0,0.0,0.5,0,3,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,240,300,0,0,1,0.0,0.0,0.5,0,4,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,300,360,0,0,1,0.0,0.0,0.5,0,5,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,360,420,0,0,1,0.0,0.0,0.5,0,6,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,420,480,0,0,1,0.0,0.0,0.5,0,7,0.0,0.0,0.0,0.0,stable,0
SH_CONTROL_N16_SEED567890,sinkhole,control,567890,480,540,0,0,1,0.0,0.0,0.5,0,8,0.0,0.0,0.0,0.0,stable,0
